order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
00010242fe8c5a6d1ba2dd792cb16214,3ce436f183e68e07877b285a838db11a,delivered,2017/9/13 8:59,2017/9/13 9:45,2017/9/19 18:34,2017/9/20 23:43,2017/9/29 0:00
00018f77f2f0320c557190d7a144bdd3,f6dd3ec061db4e3987629fe6b26e5cce,delivered,2017/4/26 10:53,2017/4/26 11:05,2017/5/4 14:35,2017/5/12 16:04,2017/5/15 0:00
000229ec398224ef6ca0657da4fc703e,6489ae5e4333f3693df5ad4372dab6d3,delivered,2018/1/14 14:33,2018/1/14 14:48,2018/1/16 12:36,2018/1/22 13:19,2018/2/5 0:00
00024acbcdf0a6daa1e931b038114c75,d4eb9395c8c0431ee92fce09860c5a06,delivered,2018/8/8 10:00,2018/8/8 10:10,2018/8/10 13:28,2018/8/14 13:32,2018/8/20 0:00
00042b26cf59d7ce69dfabb4e55b4fd9,58dbd0b2d70206bf40e62cd34e84d795,delivered,2017/2/4 13:57,2017/2/4 14:10,2017/2/16 9:46,2017/3/1 16:42,2017/3/17 0:00
00048cc3ae777c65dbb7d2a0634bc1ea,816cbea969fe5b689b39cfc97a506742,delivered,2017/5/15 21:42,2017/5/17 3:55,2017/5/17 11:05,2017/5/22 13:44,2017/6/6 0:00
00054e8431b9d7675808bcb819fb4a32,32e2e6ab09e778d99bf2e0ecd4898718,delivered,2017/12/10 11:53,2017/12/10 12:10,2017/12/12 1:07,2017/12/18 22:03,2018/1/4 0:00
000576fe39319847cbb9d288c5617fa6,9ed5e522dd9dd85b4af4a077526d8117,delivered,2018/7/4 12:08,2018/7/5 16:35,2018/7/5 12:15,2018/7/9 14:04,2018/7/25 0:00
0005a1a1728c9d785b8e2b08b904576c,16150771dfd4776261284213b89c304e,delivered,2018/3/19 18:40,2018/3/20 18:35,2018/3/28 0:37,2018/3/29 18:17,2018/3/29 0:00
0005f50442cb953dcd1d21e1fb923495,351d3cb2cee3c7fd0af6616c82df21d3,delivered,2018/7/2 13:59,2018/7/2 14:10,2018/7/3 14:25,2018/7/4 17:28,2018/7/23 0:00
00061f2a7bc09da83e415a52dc8a4af1,c6fc061d86fab1e2b2eac259bac71a49,delivered,2018/3/24 22:16,2018/3/24 22:28,2018/3/27 5:26,2018/3/29 0:04,2018/4/9 0:00
00063b381e2406b52ad429470734ebd5,6a899e55865de6549a58d2c6845e5604,delivered,2018/7/27 17:21,2018/7/27 18:00,2018/7/30 14:52,2018/8/7 13:56,2018/8/7 0:00
0006ec9db01a64e59a68b2c340bf65a7,5d178120c29c61748ea95bac23cb8f25,delivered,2018/7/24 17:04,2018/7/24 17:24,2018/7/25 11:02,2018/7/31 1:04,2018/8/22 0:00
0008288aa423d2a3f00fcb17cd7d8719,2355af7c75e7c98b43a87b2a7f210dc5,delivered,2018/2/13 22:10,2018/2/15 3:55,2018/2/20 18:23,2018/2/26 13:55,2018/3/6 0:00
0009792311464db532ff765bf7b182ae,2a30c97668e81df7c17a8b14447aeeba,delivered,2018/8/14 20:43,2018/8/15 12:15,2018/8/15 15:28,2018/8/22 12:02,2018/8/28 0:00
0009c9a17f916a706d71784483a5d643,8a250edc40ebc5c3940ebc940f16a7eb,delivered,2018/4/25 9:10,2018/4/25 9:33,2018/4/27 15:14,2018/4/30 17:54,2018/5/9 0:00
000aed2e25dbad2f9ddb70584c5a2ded,fff5169e583fd07fac9fec88962f189d,delivered,2018/5/11 20:33,2018/5/11 20:57,2018/5/16 14:26,2018/5/18 16:46,2018/5/22 0:00
000c3e6612759851cc3cbb4b83257986,3773bcf1a6fbd29233ea1c1b573c4f22,delivered,2017/8/12 10:08,2017/8/15 3:35,2017/8/15 15:32,2017/8/19 15:22,2017/9/1 0:00
000e562887b1f2006d75e0be9558292e,2b01d668726fb0b751c55918c0437b7b,delivered,2018/2/22 11:54,2018/2/22 12:08,2018/2/26 14:18,2018/3/12 18:46,2018/3/19 0:00
000e63d38ae8c00bbcb5a30573b99628,98884e672c5ba85f4394f2044e1a3eab,delivered,2018/3/23 19:48,2018/3/23 20:07,2018/3/26 21:38,2018/3/27 14:51,2018/4/5 0:00
000e906b789b55f64edcb1f84030f90d,6a3b2fc9f270df258605e22bef19fd88,delivered,2017/11/21 18:54,2017/11/21 19:09,2017/11/22 20:46,2017/12/9 17:27,2017/12/7 0:00
000f25f4d72195062c040b12dce9a18a,86ade8ebc14f18dd6c3ea75bd0eb7534,delivered,2018/3/7 10:33,2018/3/7 11:10,2018/3/16 15:58,2018/3/22 16:51,2018/4/11 0:00
001021efaa8636c29475e7734483457d,2dfbf74859104caf100df3720a1d833d,delivered,2018/2/27 9:27,2018/2/27 9:35,2018/2/27 21:43,2018/3/8 20:06,2018/3/23 0:00
0010b2e5201cc5f1ae7e9c6cc8f5bd00,57ef317d4818cb42680fc9dfd13867ce,delivered,2017/9/11 17:39,2017/9/11 18:04,2017/9/12 17:02,2017/9/23 13:21,2017/9/27 0:00
0010dedd556712d7bb69a19cb7bbd37a,3a92efdb6e6163dc1734d44f2f5f6d04,unavailable,2017/10/21 19:32,2017/10/24 3:25,0000-00-00 00:00:00,0000-00-00 00:00:00,2017/11/3 0:00
00119ff934e539cf26f92b9ef0cdfed8,7dd2e283f47deac853cf70f3b63c8d86,delivered,2017/8/6 0:42,2017/8/7 0:35,2017/8/7 21:12,2017/8/16 17:29,2017/8/31 0:00
0011d82c4b53e22e84023405fb467e57,2013d892495e1a101d742d533d2d1119,delivered,2018/1/16 21:43,2018/1/16 21:51,2018/1/23 22:08,2018/1/26 22:14,2018/2/15 0:00
00125cb692d04887809806618a2a145f,8afb90a97ee661103014329b1bcea1a2,delivered,2017/3/23 12:21,2017/3/23 13:05,2017/3/27 8:58,2017/4/7 15:32,2017/4/20 0:00
00130c0eee84a3d909e75bc08c5c3ca1,47d656c08a282ec5ab4c1f18303a3a30,delivered,2018/6/11 21:17,2018/6/12 5:16,2018/6/12 14:22,2018/6/13 15:28,2018/6/20 0:00
